"num_ticket","date_creation","status","reponse_client"
"COSPA-5724","2025-12-23 12:03:06","en cours","Non"
"COSPA-5716","2025-12-23 11:04:50","en attente","Non"
"COSPA-5714","2025-12-23 10:58:53","en cours","Non"
"COSPA-5706","2025-12-23 09:52:39","en attente","Non"
"COSPA-5704","2025-12-23 09:44:02","en attente","Non"
"COSPA-5702","2025-12-23 09:38:40","en attente","Non"
"COSPA-5699","2025-12-23 09:18:42","en attente","Non"
"COSPA-5697","2025-12-23 09:12:31","en attente","Non"
"COSPA-5610","2025-12-22 10:46:27","en attente","Non"
"COSPA-5601","2025-12-22 09:58:51","en cours","Non"
"COSPA-5494","2025-12-20 14:16:23","en attente","Non"
"COSPA-5489","2025-12-20 13:13:08","en attente","Non"
"COSPA-5488","2025-12-20 13:12:25","en attente","Non"
"COSPA-5487","2025-12-20 13:02:28","en attente","Non"
"COSPA-5485","2025-12-20 12:00:42","en cours","Non"
"COSPA-5483","2025-12-20 11:34:40","en attente","Non"
"COSPA-5471","2025-12-20 07:13:02","en attente","Non"
"COSPA-5462","2025-12-19 21:39:15","en cours","Non"
"COSPA-5454","2025-12-19 19:37:11","en attente","Non"
"COSPA-5451","2025-12-19 17:58:45","en attente","Non"
"COSPA-5450","2025-12-19 17:58:21","en attente","Non"
"COSPA-5444","2025-12-19 16:12:21","en attente","Non"
"COSPA-5438","2025-12-19 15:53:34","en cours","Non"
"COSPA-5432","2025-12-19 15:07:19","en attente","Non"
"COSPA-5431","2025-12-19 15:06:49","en attente","Non"
"COSPA-5430","2025-12-19 15:06:49","en attente","Non"
"COSPA-5500","2025-12-20 16:10:21","en attente","Non"
"COSPA-5503","2025-12-20 17:58:08","en attente","Non"
"COSPA-5580","2025-12-22 08:55:23","en attente","Non"
"COSPA-5565","2025-12-22 08:18:31","en cours","Non"
"COSPA-5552","2025-12-21 22:48:04","en attente","Non"
"COSPA-5550","2025-12-21 18:48:04","en attente","Non"
"COSPA-5548","2025-12-21 18:18:51","en attente","Non"
"COSPA-5545","2025-12-21 18:11:15","en cours","Non"
"COSPA-5536","2025-12-21 13:22:21","en attente","Non"
"COSPA-5535","2025-12-21 13:20:47","en attente","Non"
"COSPA-5534","2025-12-21 13:08:27","en cours","Non"
"COSPA-5532","2025-12-21 13:06:45","en attente","Non"
"COSPA-5529","2025-12-21 12:41:31","en cours","Non"
"COSPA-5526","2025-12-21 11:43:21","en attente","Non"
"COSPA-5525","2025-12-21 11:31:27","en attente","Non"
"COSPA-5522","2025-12-21 09:12:39","en attente","Non"
"COSPA-5509","2025-12-20 21:08:21","en attente","Non"
"COSPA-5504","2025-12-20 17:58:08","en attente","Non"
"COSPA-5429","2025-12-19 15:04:44","en attente","Non"
"COSPA-5775","2025-12-23 23:52:47","en cours","Non"
"COSPA-6206","2025-12-31 16:58:50","en attente","Non"
"COSPA-6037","2025-12-29 11:40:21","en cours","Non"
"COSPA-6029","2025-12-29 11:22:41","en attente","Non"
"COSPA-6025","2025-12-29 10:30:46","en attente","Non"
"COSPA-6011","2025-12-29 09:29:02","en attente","Non"
"COSPA-6003","2025-12-29 09:06:41","en attente","Non"
"COSPA-5999","2025-12-29 08:41:08","en cours","Non"
"COSPA-5996","2025-12-29 08:02:43","en attente","Non"
"COSPA-5991","2025-12-29 06:12:03","en attente","Non"
"COSPA-5985","2025-12-28 20:55:04","en attente","Non"
"COSPA-5977","2025-12-28 14:36:39","en cours","Non"
"COSPA-5976","2025-12-28 14:24:22","en attente","Non"
"COSPA-5975","2025-12-28 14:24:03","en attente","Non"
"COSPA-5972","2025-12-28 11:39:22","en attente","Non"
"COSPA-5971","2025-12-28 11:37:25","en attente","Non"
"COSPA-5957","2025-12-27 17:40:21","en attente","Non"
"COSPA-5941","2025-12-27 13:22:27","en cours","Non"
"COSPA-6050","2025-12-29 12:43:06","en cours","Non"
"COSPA-6053","2025-12-29 13:02:42","en attente","Non"
"COSPA-6199","2025-12-31 14:01:23","en attente","Non"
"COSPA-6174","2025-12-31 09:26:04","en attente","Non"
"COSPA-6173","2025-12-31 09:22:23","en attente","Non"
"COSPA-6151","2025-12-30 17:29:08","en attente","Non"
"COSPA-6147","2025-12-30 16:03:54","en attente","Non"
"COSPA-6146","2025-12-30 15:47:01","en attente","Non"
"COSPA-6131","2025-12-30 12:38:06","en cours","Non"
"COSPA-6126","2025-12-30 11:29:21","en attente","Non"
"COSPA-6104","2025-12-30 08:37:10","en attente","Non"
"COSPA-6097","2025-12-29 22:24:04","en attente","Non"
"COSPA-6086","2025-12-29 16:34:32","en attente","Non"
"COSPA-6081","2025-12-29 15:38:20","en attente","Non"
"COSPA-6075","2025-12-29 14:44:06","en cours","Non"
"COSPA-6072","2025-12-29 14:34:43","en cours","Non"
"COSPA-6057","2025-12-29 13:33:44","en cours","Non"
"COSPA-6056","2025-12-29 13:30:27","en attente","Non"
"COSPA-5935","2025-12-27 09:58:40","en attente","Non"
"COSPA-5931","2025-12-27 09:24:19","en attente","Non"
"COSPA-5866","2025-12-25 18:30:23","en attente","Non"
"COSPA-5853","2025-12-25 10:58:04","en attente","Non"
"COSPA-5843","2025-12-25 01:45:20","en attente","Non"
"COSPA-5838","2025-12-24 21:40:54","en attente","Non"
"COSPA-5836","2025-12-24 19:10:26","en cours","Non"
"COSPA-5819","2025-12-24 14:00:28","en attente","Non"
"COSPA-5818","2025-12-24 13:49:40","en cours","Non"
"COSPA-5806","2025-12-24 12:10:21","en cours","Non"
"COSPA-5805","2025-12-24 12:09:27","en cours","Non"
"COSPA-5803","2025-12-24 12:08:22","en attente","Non"
"COSPA-5801","2025-12-24 12:05:25","en attente","Non"
"COSPA-5792","2025-12-24 09:57:19","en attente","Non"
"COSPA-5791","2025-12-24 09:56:32","en cours","Non"
"COSPA-5787","2025-12-24 09:33:09","en cours","Non"
"COSPA-5784","2025-12-24 08:58:24","en attente","Non"
"COSPA-5781","2025-12-24 07:58:23","en cours","Non"
"COSPA-5867","2025-12-25 18:56:50","en cours","Non"
"COSPA-5868","2025-12-25 18:58:41","en attente","Non"
"COSPA-5930","2025-12-27 09:22:21","en attente","Non"
"COSPA-5923","2025-12-27 08:34:22","en attente","Non"
"COSPA-5919","2025-12-26 21:35:02","en attente","Non"
"COSPA-5917","2025-12-26 21:22:44","en attente","Non"
"COSPA-5916","2025-12-26 21:02:49","en attente","Non"
"COSPA-5911","2025-12-26 16:18:40","en attente","Non"
"COSPA-5910","2025-12-26 16:18:02","en attente","Non"
"COSPA-5906","2025-12-26 14:50:41","en attente","Non"
"COSPA-5902","2025-12-26 12:43:20","en attente","Non"
"COSPA-5901","2025-12-26 12:32:22","en attente","Non"
"COSPA-5895","2025-12-26 11:42:40","en attente","Non"
"COSPA-5894","2025-12-26 11:28:21","en attente","Non"
"COSPA-5886","2025-12-26 10:04:43","en attente","Non"
"COSPA-5881","2025-12-26 09:15:02","en attente","Non"
"COSPA-5880","2025-12-26 09:04:41","en cours","Non"
"COSPA-5872","2025-12-25 21:52:32","en attente","Non"
"COSPA-5777","2025-12-24 04:56:24","en attente","Non"
"COSPA-5428","2025-12-19 15:04:20","en attente","Non"
"COSPA-5075","2025-12-16 18:02:49","en cours","Non"
"COSPA-5004","2025-12-16 12:14:03","en attente","Non"
"COSPA-5634","2025-12-22 13:05:02","en attente","Non"
"COSPA-4998","2025-12-16 11:49:30","en cours","Non"
"COSPA-4990","2025-12-16 11:02:40","en attente","Non"
"COSPA-4987","2025-12-16 10:31:08","en attente","Non"
"COSPA-4986","2025-12-16 10:20:28","en cours","Non"
"COSPA-4981","2025-12-16 09:58:02","en attente","Non"
"COSPA-4962","2025-12-16 08:31:24","en attente","Non"
"COSPA-4955","2025-12-16 08:02:03","en attente","Non"
"COSPA-4953","2025-12-16 07:54:03","en attente","Non"
"COSPA-4950","2025-12-16 07:13:11","en cours","Non"
"COSPA-4948","2025-12-16 07:01:18","en cours","Non"
"COSPA-4942","2025-12-16 06:12:03","en attente","Non"
"COSPA-4938","2025-12-16 00:11:35","en cours","Non"
"COSPA-4934","2025-12-15 22:58:06","en attente","Non"
"COSPA-4933","2025-12-15 22:46:54","en attente","Non"
"COSPA-5005","2025-12-16 12:30:40","en attente","Non"
"COSPA-5012","2025-12-16 12:56:03","en attente","Non"
"COSPA-5072","2025-12-16 17:50:20","en attente","Non"
"COSPA-5069","2025-12-16 17:36:02","en attente","Non"
"COSPA-5066","2025-12-16 17:21:04","en attente","Non"
"COSPA-5060","2025-12-16 16:32:23","en attente","Non"
"COSPA-5059","2025-12-16 16:30:20","en attente","Non"
"COSPA-5051","2025-12-16 16:02:58","en cours","Non"
"COSPA-5049","2025-12-16 15:52:40","en cours","Non"
